표제,편/권차,저 자,낱권 ISBN,낱권 부가기호,세트 ISBN,세트 부가기호,CIP 제어번호,판차,총서 표제,총서 편차,가격,발행일(예정),발행처,한국십진분류,듀이십진분류,납본여부,출판사홈페이지
현대 한국의 범죄와 형벌,,저자 : 심희기 노성호 박혜진 김용수 이강민 윤지영 박다정 김연수 권창국 안성훈 전지연 김정환 박종승 김형국 이인영,979-11-303-6221-2,95360?,,,,제2판,,,18900,20190731,(주)박영사,,,미납본,http://www.pybook.co.kr
현대한국의범죄와형벌,,저자 : 심희기 노성호 박혜진 김용수 이강민 윤지영 박다정 김연수 권창국 안성훈 전지연 김정환 박종승 김형국 이인영,979-11-303-6159-8,95360?,,,,제2판,,,"18,900",20190730,(주)박영사,,,미납본,http://www.pybook.co.kr
(2019년)여성 청소년 범죄 수사실무총서,,저자 : 박태곤,978-89-7535-759-6,95360?,,,,2,,,"160,000",20190725,법문북스,,,미납본,http://www.law.co.kr
신비한 동물들과 그린델왈드의 범죄,,지은이: J.K. 롤링 옮긴이: 박아람,978-89-8392-739-2,03840?,,,CIP2019006632?,,,,15000,20190724,문학수첩,842,,미납본,
"너무 어린 남친, 혹시 범죄일까?",,저자 : Yue Satomi,,,979-11-6500-160-5,05650?,,,,,세트가미정,20190717,(주식회사)넥스큐브,,,미납본,
범죄예방 건축기준 개선방안 연구,,"연구책임: 조영진 연구진: 현태환,박유나 외부연구진: 김종천",979-11-5659-227-3,93540?,,,,,,,11000,20190717,건축도시공간연구소,,,미납본,http://www.auri.re.kr
분기별 범죄동향 리포트(2019년 1분기),,저자 : 한국형사정책연구원,979-11-89908-18-8,93330?,,,,,,,비매품/무료,20190715,한국형사정책연구원,,,미납본,http://www.kic.re.kr
대한민국 환경범죄단속법(환경범죄 등의 단속 및 가중처벌에 관한 법률) : 교양 법령집 시리즈,,저자 : 조세형,979-11-272-7742-0,03360?,,,,,,,"10,000",20190709,(주식회사)부크크,,,미납본,
형사법 및 범죄학개론,,저자 : 보험연수원,979-11-90213-07-3,14320?,979-11-90213-05-9,14320?,,2019년 개정판,보험조사분석사,,"18,000",20190705,보험연수원,,,미납본,http://www.in.or.kr
대한민국 범죄인 인도법 : 교양 법령집 시리즈,,역자 : 조세형,979-11-272-7708-6,03360?,,,,,,,"10,000",20190703,(주식회사)부크크,,,미납본,
조선 특유의 범죄-남편 살해법의 부인과학적 고찰,,저자 : 구도다케기 최재목 김정곤,978-89-7581-670-3,95330?,,,CIP2019015696?,,,,"20,000",20190630,영남대학교출판부,334.24,,미납본,http://book.yu.ac.kr/
범죄피해의 이해와 개입 (현장에서의 위기개입워크북),,"육성필 , 박지란",979-11-90151-63-4,95370?,,,,,,,7000,20190630,(주식회사)피와이메이트(PYMATE),,,미납본,
범죄피해의 이해와 개입 (현장에서의 위기개입매뉴얼),,"육성필 , 박지란",979-11-90151-71-9,95370?,,,,,,,3850,20190630,(주식회사)피와이메이트(PYMATE),,,미납본,
사이버범죄론,,이원상,979-11-303-6242-7,95330?,,,,,,,10500,20190630,(주)박영사,,,미납본,http://www.pybook.co.kr
범죄학 이론,,김재민,979-11-303-6187-1,95350?,,,,,,,14000,20190630,(주)박영사,,,미납본,http://www.pybook.co.kr
국제범죄론,,신상철,979-11-303-6220-5,95350?,,,,,,,18200,20190630,(주)박영사,,,미납본,http://www.pybook.co.kr
성경과 인생 8 정죄의 범죄,,저자 : 바이블 스터디,979-11-6453-178-3,05810?,,,CIP2019025325?,,,,"9,000",20190628,미디어북,230.4,,미납본,
(주민과 함께 하는) 범죄예방디자인 워크숍,,"저자: 이경훈,강석진",978-89-6225-820-2,93300?,,,,,,,28000,20190625,기문당,,,미납본,http://www.kimoondang.com
범죄학겸 형사정책,,옥필훈 저,978-89-6541-436-0,93350?,,,,개정판,,,25000,20190617,진영사,,,미납본,
범죄수사법 실무,,강동필 저,979-11-303-3403-5,93360?,,,,,,,28000,20190617,박영사,,,미납본,http://www.pybook.co.kr
제자에게 협박당하는 것은 범죄인가요?,제1교시?,사가라 소우 지음 모모코 일러스트 김민재 옮김,979-11-6389-579-4,04830?,979-11-6389-578-7,04830?,,,,,7500,20190615,Snovel :소미미디어,,,미납본,
한국의 범죄현상과 형사정책(2018),,"연구책임자: 박형민 공동연구자: 권수진,김재현,김정연,김지선,박성훈,박준희,서주연,승재현,유진,윤지영,윤해성,이승현,이천현,임정호,전영실,최영신,한민경,홍영오,황지태",979-11-89908-28-7,93330?,,,,,,,15000,20190601,KIC(한국형사정책연구원),,,미납본,http://www.kic.re.kr
사이버범죄 수사총람,,이창복,978-89-5755-240-7,95360?,,,CIP2019021672?,,,,160000,20190531,법률 미디어,364.291,,미납본,http://www.lawb.co.kr
사이버범죄 수사총람,,편저: 이창복,978-89-5755-239-1,93360?,,,CIP2019020331?,,,,160000,20190530,법률미디어,364.291,,미납본,http://www.lawb.co.kr
범죄예방론,,조상현 저,979-11-5763-812-3,93390?,,,,,,,15000,20190530,백산출판사,,,미납본,http://www.ibaeksan.kr
당신이 몰랐던 범죄학자 이야기,,저자 : 범인,979-11-89837-01-3,05180?,,,CIP2019018556?,,,,"1,800",20190524,팟빵북스,334.24,,미납본,http://www.podbbang.com
(전자책)무증거 범죄,,저자 : 쯔진천 역자 : 최정숙,979-11-6007-378-2,15820?,,,,,,,"10,500",20190514,한스미디어,,,미납본,http://www.hansmedia.com
범죄학,,지은이: 이윤호,979-11-303-0693-3,93350?,,,,제3판,,,29000,20190510,박영사,,,미납본,http://www.pybook.co.kr
"시니어, 속지 맙시다! - 시니어 맞춤형 범죄 예방교육 [CA0015678]",,저자 : 이재훈,979-11-357-1295-1,05900?,,,,,,,"30,000",20190501,(주)오디언소리,,,미납본,http://www.audien.com
범죄예방을 위한 셉테드 전략별 효과요인에 관한 연구,,"책임연구원: 강용길 공동연구원: 염윤호,민성화",979-11-6298-030-9,93350?,,,,,,,비매품/무료,20190501,치안정책연구소,,,미납본,
범죄환경 위험도 지수 개발 연구,2?,윤상연,979-11-6298-039-2,93350?,,,,,,,비매품/무료,20190501,치안정책연구소,,,미납본,
2018년 분기별 범죄동향 리포트(4분기),,저자 : 한국형사정책연구원,979-11-89908-15-7,93330?,,,,,,,비매품/무료,20190430,한국형사정책연구원,,,미납본,http://www.kic.re.kr
무증거 범죄,,쯔진천 지음 최정숙 옮김,979-11-6007-367-6,03820?,,,,,,,14800,20190429,한스미디어 :한즈미디어,,,미납본,http://www.hansmedia.com
(올라) 범죄수사학,,"편저인: 박노섭,이동희,이윤,장윤식",978-89-5819-208-4,13350?,,,CIP2019013878?,,,,20000,20190420,경찰공제회,367.43077,,미납본,http://www.pmaa.or.kr
IoT포렌식으로 알아보는 범죄현장 재해석,,저자 : 이별 안소현 엄정연 이형범,979-11-89779-10-8,95000?,,,CIP2019015250?,,,,"7,000",20190419,브이메이커스,4.61,,미납본,
선거사무장과 당선무효형 대상범죄 범위 (생활법률과 판결문),,저자 : 법률나무,979-11-284-1528-9,05360?,,,CIP2019014855?,,,,"39,000",20190415,서울문학,362.117,,미납본,
오스카 와일드의 아서 새빌 경의 범죄,,저자 : 오스카 와일드,979-11-288-4153-8,05840?,979-11-288-4152-1,05840?,,,오스카 와일드의 환상문학선,,"3,300",20190402,커뮤니케이션북스(주),,,미납본,http://www.commbooks.com
"시니어, 속지 맙시다! - 시니어 맞춤형 범죄 예방교육 [DA0015678]",,저자 : 이재훈,979-11-357-0723-0,05900?,,,,,,,"5,000",20190401,(주)오디언소리,,,미납본,http://www.audien.com
위기의 범죄자,,저자 : 황정한 안유정 삽화가(그림작가) : 전규만,979-11-966707-0-2,05650?,,,,,,,"27,200",20190401,별의정원,,,미납본,
온라인 그루밍 성범죄,,엘레나 마르텔로조 지음 탁틴내일 옮김,978-89-5827-120-8,13330?,,,CIP2019009097?,,,,20000,20190327,한울림,334.223,,미납본,http://www.inbumo.com
(현장사례중심) 범죄학,,이인열 저,978-89-6541-430-8,93350?,,,,,,,25000,20190320,진영사,,,미납본,
현대사회와 범죄,,정신교 저,978-89-472-8327-4,93360?,,,CIP2019007688?,개정2판,,,22000,20190318,형설출판사,364.4,,미납본,http://www.hyungseul.co.kr
과학범죄수사,,저자: 이건수,978-89-5565-772-2,93350?,,,,,,,28000,20190315,청목출판사,,,미납본,http://www.chongmok.co.kr
선거범죄수사론,,신현기 著,979-11-86386-13-2,93350?,,,CIP2019009273?,,,,20000,20190315,우공출판사,344,,미납본,
여성·청소년 범죄 수사실무총서,,저자 : 박태곤,978-89-7535-711-4,93360?,,,CIP2019005783?,2,,,"160,000",20190315,법문북스,367.43,,미납본,http://www.law.co.kr
현대 한국의 범죄와 형벌,,"지은이: 심희기,노성호,박혜진,김용수,이강민,윤지영,박다정,김연수,권창국,안성훈,전지연,김정환,박종승,김형국,이인영",979-11-303-3373-1,93360?,,,,제2판,,,27000,20190310,박영사,,,미납본,http://www.pybook.co.kr
법률 김밥 : 가정폭력범죄 확정후 동일범죄 기소,,저자 : 법률나무,979-11-284-1453-4,05360?,,,CIP2019008609?,,,,"2,900",20190306,서울문학,365.5,,미납본,
범죄예방론,,저자 : 이상원 김양현,978-89-5774-338-6,93350?,,,,,,,"38,000",20190305,대명출판사,,,미납본,
Vold의 이론범죄학,,"Thomas J. Bernard,Jeffrey B. Snipes,Alexander L. Gerould 지음 이순래,이성식,박정선,김성언,박철현,김상원,박성민,류준혁 옮김",978-89-5727-288-6,93350?,,,,,,,29000,20190305,그린,,,미납본,http://www.greenpress.co.kr
사이버 범죄 수사,,이건수 지음,978-89-5727-290-9,93350?,,,,,,,15000,20190304,그린,,,미납본,http://www.greenpress.co.kr
범죄예방론,,"Steven P. Lap 지음 이순래,박정선,박철현 옮김",978-89-5727-287-9,93350?,,,,,,,30000,20190304,그린,,,미납본,http://www.greenpress.co.kr
범죄심리학,,박지선 지음,978-89-5727-289-3,93180?,,,,제3판,,,20000,20190304,그린,,,미납본,http://www.greenpress.co.kr
위기 관리 총서 시리즈4 - 범죄 피해 위기 개입,,저자 : 육성필,,,979-11-89643-18-8,94370?,,,,,세트가미정,20190228,(주식회사)피와이메이트(PYMATE),,,미납본,
"‘SCP 진단시스템’ 구축, 성과 국제 공유로 서울시 국제적 범죄안전도시로 전환해야",,저자 : 원종석 김상균,979-11-5700-378-5,93530?,,,,,,,비매품/무료,20190228,(재)서울연구원,,,미납본,http://www.si.re.kr
국제범죄론,,지은이: 신상철,979-11-303-0746-6,93350?,,,,,,,26000,20190228,박영사,,,미납본,http://www.pybook.co.kr
범죄학개론,,전돈수 著,978-89-8468-825-4,93350?,,,,제3개정판,,,26000,20190227,(도서출판)21세기사,,,미납본,www.21cbook.co.kr
범죄피해의 이해와 개입,,"지은이: 육성필,박지란",979-11-89643-19-5,94370?,979-11-89643-18-8,94370?,,,,,10000,20190225,박영story :피와이메이트,,,미납본,
범죄피해의 이해와 개입,,"지은이: 육성필,박지란",979-11-89643-20-1,94370?,979-11-89643-18-8,94370?,,,,,5500,20190225,피와이메이트,,,미납본,
교통범죄수사실무론,,장승수 著,979-11-86386-12-5,93350?,,,CIP2019005267?,,,,25000,20190215,우공출판사,367.43,,미납본,
교통범죄수사론,,장승수 著,979-11-86386-11-8,93350?,,,CIP2019004752?,,,,35000,20190215,우공출판사,350.76,,미납본,
대한민국 범죄피해자 보호법 : 교양 법령집 시리즈,,저자 : 조세형,979-11-272-6217-4,03360?,,,,,,,"7,000",20190213,(주식회사)부크크,,,미납본,
2018년 분기별 범죄동향 리포트,,저자 : 강은영 조영오 박희정,979-11-965704-1-5,93330?,,,,,,,비매품/무료,20190131,한국형사정책연구원,,,미납본,http://www.kic.re.kr
"덜미, 완전범죄는 없다",2?,"한국일보 경찰팀 지음 글쓴이: 남상욱,정승임,김형준,이혜미,박진만,한소범,강진구,손영하",979-11-87572-13-8,04300?,979-11-87572-14-5,04300?,CIP2019001252?,,"덜미, 완전범죄는 없다",,16500,20190125,북콤마,351.176,353.36,미납본,
"덜미, 완전범죄는 없다",,저자 : 한국일보 경찰팀,,,979-11-87572-14-5,04300?,,,,,세트가미정,20190125,북콤마,,,미납본,
사이버범죄론,,이원상 저,979-11-303-0680-3,93330?,,,,,,,15000,20190107,박영사,,,미납본,http://www.pybook.co.kr
2018 서울사이버범죄백서,,편집자 : 서울지방경찰청 사이버안전과,979-11-962452-1-4,13350?,,,,,,,비매품/무료,20190103,서울지방경찰청,,,미납본,
공장밀집지역 배후 주거지의 범죄예방환경설계 가이드라인,,저자 : 손동필 유광흠 조영진 현태환 박유나,979-11-5659-222-8,93530?,,,,,,,비매품/무료,20181231,건축도시공간연구소,,,미납본,http://www.auri.re.kr
대도시 쇠퇴 상업지역의 범죄예방환경설계 가이드라인,,저자 : 손동필 유광흠 조영진 현태환 박유나,979-11-5659-221-1,93530?,,,,,,,비매품/무료,20181231,건축도시공간연구소,,,미납본,http://www.auri.re.kr
범죄예방 환경조성사업 현황과 평가,,"연구책임: 손동필 연구진: 유광흠,조영진,현태환,박유나",979-11-5659-213-6,93530?,,,,,,,23000,20181231,건축도시공간연구소,,,미납본,http://www.auri.re.kr
소년범죄자의 재범 실태 및 방지 대책 연구,,"책임연구원: 최정원 공동연구원: 강경균,강소영,김혁",979-11-5654-189-9,93330?,,,,,,,"10,000",20181231,한국청소년정책연구원,,,미납본,http://www.nypi.re.kr/
오페라에서 찾은 범죄심리,,"조윤오, 신소라",979-11-303-6154-3,95350?,,,,,,,10500,20181231,(주)박영사,,,미납본,http://www.pybook.co.kr
범죄학 이론,,김재민 저,979-11-303-0702-2,93350?,,,,,,,20000,20181230,박영사,,,미납본,http://www.pybook.co.kr
범죄피해자보호제도론,,"원혜욱,손진,홍민지,김재희,박상민,박경규 공저",978-89-6479-412-8,93360?,,,,,,,16000,20181224,Fides,,,미납본,
뇌과학과 범죄행위의 책임,,저자: 손지영,978-89-97259-21-2,93360?,,,,,,,15000,20181219,마루북스,,,미납본,
범죄의 본질을 깨달은 다니엘 (기독교 신앙칼럼),,저자 : 바이블 스터디,979-11-6317-746-3,05810?,,,,,,,"29,000",20181218,미디어북,,,미납본,
동남아시아사령부(SEAC) 문서 등,,국사편찬위원회 [편],978-89-8236-729-8,94910?,978-89-8236-713-7,94910?,,,일본군 '위안부'.전쟁범죄 자료집,,비매품/무료,20181210,국사편찬위원회,,,미납본,http://www.history.go.kr
동남아시아번역심문센터(SEATIC) 문서,,국사편찬위원회 [편],978-89-8236-730-4,94910?,978-89-8236-713-7,94910?,,,일본군 '위안부'.전쟁범죄 자료집,,비매품/무료,20181210,국사편찬위원회,,,미납본,http://www.history.go.kr
범죄의구성 인간흉기 [세트],,저자 : 박인권,,,979-11-355-1824-9,05810?,,,,,세트가미정,20181203,(주)코리아컨텐츠네트워크,,,미납본,
디지털성범죄에 대한 해외 주요국의 제도적 대응 실태 조사,,"연구수행기관: 사이버커뮤니케이션학회 책임연구원: 안정민 연구원: 김슬기,정소영",979-11-87948-19-3,93330?,,,,,,,비매품/무료,20181201,방송통신심의위원회 조사분석팀,,,미납본,
범죄와 인권,,저자 : 이동임 천정환,979-11-303-5676-1,95350?,,,,,,,12600,20181201,(주)박영사,,,미납본,http://www.pybook.co.kr
디지털성범죄 유통실태 보고서,,"사업책임: 최자은,임경진,강효선",979-11-6161-548-6,03330?,,,,,,,비매품/무료,20181201,서울특별시 :서울시여성가족재단,,,미납본,
정신질환자 범죄의 예방 및 감소를 위한 지역사회 내 관리방안,,연구책임자: 안성훈 공동연구자: 정진경,979-11-89908-01-0,93360?,,,,,,,10000,20181201,KIC(한국형사정책연구원),,,미납본,http://www.kic.re.kr
전국범죄피해조사,8?,"연구책임자: 전영실 공동연구자: 유진,노성훈",979-11-965704-2-2,93330?,,,,,,,15000,20181201,KIC(한국형사정책연구원),,,미납본,http://www.kic.re.kr
2018 디지털성범죄 피해자지원 사업 최종보고서,,"연구자: 최자은,임경진,강효선",979-11-87956-94-5,93330?,,,,,,,비매품/무료,20181201,서울시여성가족재단,,,미납본,http://www.seoulwomen.or.kr/
범죄예방 목적의 공공 CCTV 운영실태 및 개선방안 연구,,"연구책임자: 한민경 공동연구자: 박현호,C.W.R. Webster,Robert Carr",979-11-87160-93-9,93330?,,,,,,,10000,20181201,KIC(한국형사정책연구원),,,미납본,http://www.kic.re.kr
온라인 성폭력 범죄의 변화에 따른 처벌 및 규제방안,,연구책임자: 장다혜 공동연구자: 김수아,979-11-87160-92-2,93360?,,,,,,,10000,20181201,KIC(한국형사정책연구원),,,미납본,http://www.kic.re.kr
재외국민의 범죄피해 지원방안,,"연구책임자: 홍영오 공동연구자: 박준희,추지현,박우",979-11-87160-94-6,93330?,,,,,,,10000,20181201,KIC(한국형사정책연구원),,,미납본,http://www.kic.re.kr
크라우드 펀딩(crowdfunding)을 이용한 범죄의 실태와 대응방안 연구,,연구책임자: 이천현 공동연구자: 손영화,979-11-87160-97-7,93360?,,,,,,,10000,20181201,KIC(한국형사정책연구원),,,미납본,http://www.kic.re.kr
국제범죄방지를 위한 UN?국제협력 및 연구(ⅩⅣ),,"연구책임자: 승재현 공동연구자: 연성진,전현욱,이승진,나주원,Roderic Broadhurst,Benoit Dupont,강민정,백혜원,안수정,유하윤,정세윤,한고은,Sarah Gross",979-11-965704-4-6,93330?,,,,,,,10000,20181201,KIC(한국형사정책연구원),,,미납본,http://www.kic.re.kr
국제범죄 방지를 위한 UN?국제협력 및 연구(ⅩⅣ),,"연구책임자: 승재현 공동연구자: 연성진,전현욱,이승진,나주원,Roderic Broadhurst,Benoit Dupont,강민정,백혜원,안수정,유하윤,정세윤,한고은,Sarah Gross",979-11-965704-6-0,93330?,,,,,,,7000,20181201,KIC(한국형사정책연구원),,,미납본,http://www.kic.re.kr
국제범죄방지를 위한 UN?국제협력 및 연구(ⅩⅣ),,"연구책임자: 승재현 공동연구자: 연성진,전현욱,이승진,나주원,Roderic Broadhurst,Benoit Dupont,강민정,백혜원,안수정,유하윤,정세윤,한고은,Sarah Gross",979-11-965704-5-3,93330?,,,,,,,10000,20181201,KIC(한국형사정책연구원),,,미납본,http://www.kic.re.kr
장애인 범죄피해실태와 대책에 관한 연구,,"연구책임자: 김지영 공동연구자: 최수형,이권철,이진국,김강원,최정규",979-11-89908-00-3,93330?,,,,,,,10000,20181201,KIC(한국형사정책연구원),,,미납본,http://www.kic.re.kr
범죄와 인권 2판,,이동임,979-11-303-6429-2,95350?,,,,,,,12600,20181201,(주)박영사,,,미납본,http://www.pybook.co.kr
현대사회와 범죄학 6판,,허경미,979-11-303-5772-0,95350?,,,,,,,20300,20181201,(주)박영사,,,미납본,http://www.pybook.co.kr
범죄와 생활법률 2판,,송희진,979-11-303-5755-3,95360?,,,,,,,18200,20181201,(주)박영사,,,미납본,http://www.pybook.co.kr
5G 시대와 범죄,,"전대양 , 박동균, 김종오",979-11-303-5596-2,95350?,,,,,,,20300,20181201,(주)박영사,,,미납본,http://www.pybook.co.kr
신비한 동물들과 그린델왈드의 범죄,,시그네 버그스트롬 지음 최지원 옮김 미나리마 꾸밈,978-89-8392-706-4,03840?,,,CIP2018019535?,,,,35000,20181130,문학수첩,843.6,823.92,미납본,
미국의 성범죄자 등록·공개·고지법의 실효성에 관한 법제현안분석,,김영진,978-89-6684-862-1,93360?,,,,,,,5500,20181130,한국법제연구원,,,미납본,http://www.klri.re.kr
평화의 불씨 26년의 기록,,"지은이: 주한미군범죄근절운동본부 사진: 정택용,이재구,민중의소리,주한미군범죄근절운동본부 외",979-11-85253-59-6,03300?,,,CIP2018036604?,,,,12000,20181122,민중의소리,349.11042,327.519073,미납본,http://www.vop.co.kr
신비한 동물들과 그린델왈드의 범죄,,글: 조디 리븐슨 번역: 장선하,979-11-87824-41-1,03600?,,,,,,,32000,20181120,Art Nouveau,,,미납본,
"성범죄 처벌 강화, 우리 손으로 이뤄내자",,저자 : 김소영,979-11-272-5224-3,03800?,,,,,,,"11,500",20181113,(주식회사)부크크,,,미납본,
범죄고백,,저자 : 똘이엄마,979-11-5611-608-0,05800?,,,CIP2018036151?,,,,"5,800",20181112,잭슨필름,813.7,895.735,미납본,
범죄학교 [세트],,저자 : 박인권,,,979-11-6396-358-5,05810?,,,,,세트가미정,20181109,(주)코리아컨텐츠네트워크,,,미납본,
민관 빅데이터 융합을 통한 선제적 범죄예방 지원 서비스 개발,,안산시,979-11-290-0905-0,93330?,,,,,,,10000,20181107,진한엠앤비,,,미납본,http://www.jinhanbook.co.kr/
성범죄 특수수사팀 SSI (연재),,저자 : 요시다야 로쿠,979-11-286-0482-9,05830?,,,,,,,연재가,20181105,프라이데이 주식회사,,,미납본,
분기별 범죄동향리포트[2018년 2분기],,저자 : 강은영 조영오 박희정 최금나,979-11-87160-90-8,93330?,,,,,,,비매품/무료,20181031,한국형사정책연구원,,,미납본,http://www.kic.re.kr
범죄와 인권,,저자 : 박상식,978-89-6257-199-8,05360?,,,,개정2판,,,15000,20181025,경상대학교출판부,,,미납본,http://www.gspress.ac.kr
사이버 범죄,,데이비드 월 지음 정태진 옮김,978-89-6541-385-1,93350?,,,CIP2018032465?,개정판,,,15000,20181017,진영사,364.291,364.168,미납본,
(Britannica) 범죄 수사,,글: 봄봄 스토리 그림: 최병익,979-11-6233-885-8,77030?,978-89-378-8750-5,77030?,CIP2018031052?,,,,11000,20181005,Mirae N 아이세움 :미래엔,31,,미납본,http://www.mirae-n.co.kr
사실적시 명예훼손죄의 비범죄화 논의와 대안에 관한 연구,,"윤해성,김재현",979-11-87160-89-2,93360?,,,,,,,7000,20181001,KIC(한국형사정책연구원),,,미납본,http://www.kic.re.kr
범죄피해 조사론,,"공저자: 김재민,임낭연",979-11-303-0639-1,93350?,,,,,,,25000,20180930,박영사,,,미납본,http://www.pybook.co.kr
범죄피해 진술조력,,"공저자: 김동혁,임낭연",979-11-303-0641-4,93350?,,,,,,,19000,20180922,박영사,,,미납본,http://www.pybook.co.kr
과학수사로 보는 범죄의 흔적,,저자 : 유영규,979-11-5992-228-2,05300?,,,CIP2018029086?,,,,"9,900",20180920,(주)알마,367.43,363.25,미납본,http://www.munhak.com/books/brand.asp?pidx=8
범죄피해와 형사절차,,지은이: 김동혁,979-11-303-0640-7,93350?,,,,,,,15000,20180917,박영사,,,미납본,http://www.pybook.co.kr
오페라에서 찾은 범죄,,"조윤오,신소라 공저",979-11-303-0627-8,93350?,,,,,,,15000,20180915,박영사,,,미납본,http://www.pybook.co.kr
5G 시대와 범죄,,"지은이: 전대양,박동균,김종오",979-11-303-0653-7,93350?,,,,,,,29000,20180915,박영사,,,미납본,http://www.pybook.co.kr
월드 오브 워크래프트 : 전쟁범죄 - 광기의 끝[연재],,저자 : 크리스티 골든,978-89-5952-720-5,05840?,,,,,,,연재가,20180910,(주)제우미디어,,,미납본,http://www.jeumedia.com
국제범죄론,,신상철 저,979-11-6298-017-0,93350?,,,,,,,비매품/무료,20180903,경찰대학,,,미납본,
형법상 성폭력범죄의 판단기준 및 개선방안,,연구책임자: 장다혜 공동연구자: 이경환,979-11-89908-09-6,93360?,,,,,,,10000,20180901,KIC(한국형사정책연구원),,,미납본,http://www.kic.re.kr
북한이탈주민 탈북과정에서의 인신매매범죄 피해실태에 관한 탐색적 연구,,연성진,979-11-89908-07-2,93330?,,,,,,,10000,20180901,KIC(한국형사정책연구원),,,미납본,http://www.kic.re.kr
"유명한 범죄 4 (Celebrated Crimes - I, II, III) ? 들으면서 읽는 영어 오디오북 826",,저자 : 알렉상드르 뒤마 (Alexandre Dumas),979-11-296-0588-7,05740?,,,,,,,"2,500",20180831,논객넷 출판사,,,미납본,
"유명한 범죄 5 (Celebrated Crimes - I, II) ? 들으면서 읽는 영어 오디오북 827",,저자 : 알렉상드르 뒤마 (Alexandre Dumas),979-11-296-0589-4,05740?,,,,,,,"2,500",20180831,논객넷 출판사,,,미납본,
유명한 범죄 1 (Celebrated Crimes - Borgias) ? 들으면서 읽는 영어 오디오북 823,,저자 : 알렉상드르 뒤마 (Alexandre Dumas),979-11-296-0585-6,05740?,,,,,,,"2,500",20180831,논객넷 출판사,,,미납본,
유명한 범죄 3 (Celebrated Crimes - Mary Stuart) ? 들으면서 읽는 영어 오디오북 825,,저자 : 알렉상드르 뒤마 (Alexandre Dumas),979-11-296-0587-0,05740?,,,,,,,"2,500",20180831,논객넷 출판사,,,미납본,
"유명한 범죄 7 (Celebrated Crimes - I, II, III) ? 들으면서 읽는 영어 오디오북 829",,저자 : 알렉상드르 뒤마 (Alexandre Dumas),979-11-296-0591-7,05740?,,,,,,,"2,500",20180831,논객넷 출판사,,,미납본,
"유명한 범죄 8 (Celebrated Crimes - I, II, III) ? 들으면서 읽는 영어 오디오북 830",,저자 : 알렉상드르 뒤마 (Alexandre Dumas),979-11-296-0592-4,05740?,,,,,,,"2,500",20180831,논객넷 출판사,,,미납본,
유명한 범죄 2 (Celebrated Crimes - The Massacres of the South) ? 들으면서 읽는 영어 오디오북 824,,저자 : 알렉상드르 뒤마 (Alexandre Dumas),979-11-296-0586-3,05740?,,,,,,,"2,500",20180831,논객넷 출판사,,,미납본,
"유명한 범죄 6 (Celebrated Crimes - I, II, III) ? 들으면서 읽는 영어 오디오북 828",,저자 : 알렉상드르 뒤마 (Alexandre Dumas),979-11-296-0590-0,05740?,,,,,,,"2,500",20180831,논객넷 출판사,,,미납본,
기업범죄론,,저자 : 이승준,978-89-7295-410-1,95360?,,,,,,,"24,000",20180830,충북대학교출판부,,,미납본,
증권범죄의 이론과 실무,,조두영 저,979-11-303-0608-7,93360?,,,,,,,34000,20180830,박영사,,,미납본,http://www.pybook.co.kr
범죄와 인권,,"지은이: 이동임,천정환",979-11-303-0636-0,93350?,,,,제2판,,,18000,20180830,박영사,,,미납본,http://www.pybook.co.kr
사회변화와 범죄- 중세 잉글랜드를 중심으로,,저자 : 홍성표,978-89-7295-470-5,95920?,,,,,,,"28,000",20180830,충북대학교출판부,,,미납본,
(2017) 보험범죄론,,유재두 저,978-89-92949-23-1,93330?,,,CIP2017021551?,,,,20000,20180830,동강,364.23,345.025,미납본,
범죄와 인권,,박상식 지음,978-89-6257-165-3,03360?,,,CIP2018027087?,개정2판,,,15000,20180830,경상대학교출판부,364.4,345.02,미납본,http://www.gspress.ac.kr
디지털 성범죄 행위자에 대한 구상권 행사 방안,,"연구책임자: 박복순 공동연구자: 조선주,윤덕경,정수연,김현아",978-89-8491-904-4,93330?,,,,,,,10000,20180826,한국여성정책연구원,,,미납본,http://www.kwdi.re.kr
범죄특별시 5권,,저자 : 김성동,979-11-346-2708-9,05810?,,,,,,,500,20180824,미스터블루(주식회사),,,미납본,http://www.mrblue.com
범죄특별시 12권,,저자 : 김성동,979-11-346-2715-7,05810?,,,,,,,500,20180824,미스터블루(주식회사),,,미납본,http://www.mrblue.com
범죄특별시 21권,,저자 : 김성동,979-11-346-2724-9,05810?,,,,,,,500,20180824,미스터블루(주식회사),,,미납본,http://www.mrblue.com
범죄특별시 6권,,저자 : 김성동,979-11-346-2709-6,05810?,,,,,,,500,20180824,미스터블루(주식회사),,,미납본,http://www.mrblue.com
범죄특별시 13권,,저자 : 김성동,979-11-346-2716-4,05810?,,,,,,,500,20180824,미스터블루(주식회사),,,미납본,http://www.mrblue.com
범죄특별시 22권,,저자 : 김성동,979-11-346-2725-6,05810?,,,,,,,500,20180824,미스터블루(주식회사),,,미납본,http://www.mrblue.com
범죄특별시 3권,,저자 : 김성동,979-11-346-2706-5,05810?,,,,,,,500,20180824,미스터블루(주식회사),,,미납본,http://www.mrblue.com
범죄특별시 10권,,저자 : 김성동,979-11-346-2713-3,05810?,,,,,,,500,20180824,미스터블루(주식회사),,,미납본,http://www.mrblue.com
